,location,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,salary_indicated,num_words_company_profile
0,US,False,True,True,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Sales,0,141
1,US,False,True,False,Full-time,Associate,Higher Education,Energy,,0,141
2,US,False,False,False,Full-time,,,,,0,32
3,US,False,True,True,Full-time,Entry level,Unspecified,Entertainment,Sales,1,207
4,US,False,True,True,Contract,,Higher Education,Education,,0,10
5,US,False,True,False,Full-time,,,,,0,74
6,US,False,True,False,Contract,,Higher Education,Education,,0,10
7,,True,True,True,Full-time,,,,Customer Service,0,91
8,US,False,True,False,,,,,,0,192
9,DE,False,True,True,Other,,,Education,Writing/Editing,0,107
10,DE,False,True,False,Full-time,Mid-Senior level,,Education,Marketing,0,107
11,GR,False,True,True,,,,,,0,76
12,US,True,True,True,,,,Advertising and marketing,,0,114
13,US,False,True,True,Contract,,Higher Education,Education,,0,10
14,IN,False,True,True,Full-time,Entry level,Higher Education,Computer and Technology,Engineering,1,156
15,NZ,False,True,False,,,,,,0,14
16,NZ,False,True,True,Full-time,Director,Unspecified,Computer and Technology,Sales,0,78
17,PH,False,True,False,Full-time,,Higher Education,Hospitality,Information Technology,0,111
18,US,False,True,False,Full-time,,,Computer and Technology,Customer Service,0,67
19,GB,False,True,False,Full-time,Mid-Senior level,Higher Education,Fashion,Marketing,0,97
20,NZ,False,True,False,,,,Fashion,,0,294
21,US,False,False,False,Full-time,,,HR and Consulting,,0,32
22,US,False,True,False,Full-time,,,,Sales,0,134
23,US,False,True,True,Full-time,Associate,,Fashion,Sales,0,131
24,DE,False,True,True,,,,,,0,64
25,US,False,True,False,Full-time,Mid-Senior level,Higher Education,Construction,,1,82
26,GB,False,False,False,Full-time,,,Construction,,1,22
27,GB,False,True,True,Part-time,Not Applicable,,Fashion,,0,229
28,MY,False,True,True,Full-time,Entry level,Higher Education,HR and Consulting,Consulting,0,40
29,US,False,True,False,Full-time,Mid-Senior level,Higher Education,Media and News,,0,192
30,US,False,True,False,Full-time,Not Applicable,,Computer and Technology,Engineering,0,112
31,US,False,True,False,Full-time,Director,,Computer and Technology,,0,210
32,ES,False,True,False,Full-time,Mid-Senior level,Highest Education,Healthcare,Information Technology,0,115
33,NZ,False,False,False,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Information Technology,1,132
34,US,False,True,True,Full-time,Not Applicable,,Computer and Technology,Information Technology,0,330
35,US,False,True,True,Contract,,Higher Education,Education,,0,10
36,US,False,True,True,Full-time,Associate,Higher Education,Healthcare,Health Care Provider,0,71
37,US,False,True,False,,,,,Customer Service,0,184
38,US,False,True,False,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Engineering,0,222
39,GB,False,True,False,Full-time,,Higher Education,,Sales,0,79
40,HK,False,True,True,Other,Internship,Higher Education,Computer and Technology,,0,49
41,US,False,True,False,Full-time,Entry level,Normal education,Finance and Economic,Customer Service,0,86
42,,False,True,True,,,,,,0,48
43,US,False,True,False,Full-time,,,Hospitality,Sales,1,84
44,US,False,False,False,Full-time,,,,,0,32
45,GR,False,True,True,Full-time,Mid-Senior level,,Computer and Technology,Project Management,0,125
46,US,False,True,True,,,,,,0,184
47,GB,False,True,False,,,,,,0,131
48,US,False,False,False,Full-time,,,,,0,32
49,US,False,True,False,Full-time,Entry level,Normal education,Healthcare,Customer Service,0,86
50,US,False,True,True,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Marketing,0,158
51,HK,False,True,True,Full-time,Associate,Higher Education,Computer and Technology,Human Resources,1,79
52,US,False,True,False,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Sales,0,85
53,US,False,True,True,Full-time,,Higher Education,Fashion,,0,99
54,US,False,True,True,Full-time,Mid-Senior level,Unspecified,Entertainment,Quality Assurance,0,72
55,US,False,True,False,Full-time,Mid-Senior level,Higher Education,Healthcare,Health Care Provider,0,126
56,GR,False,True,True,,,,Computer and Technology,,0,175
57,FI,False,True,True,Full-time,Mid-Senior level,Unspecified,Fashion,Finance,0,230
58,US,False,True,False,Full-time,,,Entertainment,Marketing,0,77
59,GB,False,True,True,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Engineering,0,178
60,BR,False,True,True,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Engineering,0,350
61,IT,False,True,True,Full-time,,Higher Education,Computer and Technology,Information Technology,0,166
62,GB,False,True,True,Full-time,,Unspecified,Telecommunication,Sales,0,67
63,US,False,True,True,Full-time,Entry level,Normal education,Transportation,Customer Service,1,61
64,SG,False,True,False,,,,Fashion,,0,76
65,US,False,True,True,Full-time,Internship,Normal education,,Engineering,0,13
66,US,False,True,True,Full-time,Associate,Higher Education,Computer and Technology,Marketing,0,53
67,US,False,True,False,Full-time,Entry level,Normal education,Government and Legislation,Customer Service,0,86
68,US,False,True,True,,,,Computer and Technology,,0,226
69,US,False,True,False,Full-time,Associate,Normal education,Manufacturing,Manufacturing,0,86
70,US,False,True,False,Full-time,,,,,0,38
71,US,False,False,False,Full-time,,,,,0,32
72,US,False,True,False,Full-time,Mid-Senior level,Highest Education,Computer and Technology,Science,0,424
73,US,False,True,True,Full-time,Entry level,Normal education,Finance and Economic,Sales,0,216
74,GB,False,True,False,Full-time,Mid-Senior level,,Advertising and marketing,,0,203
75,US,False,True,False,Full-time,Mid-Senior level,Higher Education,Manufacturing,Human Resources,0,87
76,US,False,True,True,Full-time,Mid-Senior level,Higher Education,Healthcare,Health Care Provider,0,207
77,US,False,True,False,,,,,,0,192
78,US,False,False,False,Full-time,,,,,0,32
79,EG,False,True,False,Full-time,Associate,Higher Education,Telecommunication,Human Resources,0,156
80,US,False,True,False,Full-time,Director,Higher Education,Agriculture,Customer Service,0,424
